SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Tax-Exclusive Price,Min Price,Max Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,"Gembira Momento_Quantity","Gembira Momento_Warning Stock Level","Gembira Momento_Ideal Stock Level",Supplier,Tax Name,Store Credits,Kitchen Station,Product Id,Online Price,Online Discounted Price,Product Description
#Required(Must be unique),,Required,Optional,Required(Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional(Use ; to separate multiple tags),Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required; Enter 0 to disable; 1 to enable,Optional(Must be unique if specified),,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional(Use ; to separate multiple suppliers),Optional,Optional,Optional; Leave it blank for Default Kitchen Station; Enter 'Do Not Print Kitchen Docket' to not print kitchen docket,Please DO NOT TOUCH this column; as it contains each product's unique reference ID. Doing so will result in unsuccessful import for all products listed in this sheet.,Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional
"SH0035","","118 TOWER","Decoration","Fixed","","49.00","","","12.00","","","Simple","1","","","","-1.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962d42","","",""
"SH0024","","3D PHOTO POSTCARD","Postcard","Fixed","","12.00","","","7.80","","","Simple","1","","","","55.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962cb3","","",""
"SH0037","","ASHTRAY","Decoration","Fixed","","39.00","","","8.50","","","Simple","1","","","","-6.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962d5c","","",""
"","","Adapter","","Fixed","","19.00","","","4.00","","","","0","","","","","","","Jeff","","","Do Not Print Kitchen Docket","6a3bb0aa512d3100080f37ee","","",""
"SH0085","","BADMINTON RACKET BAG","Bag","Fixed","","49.00","","","25.00","","","Simple","1","","","","8.00","","","Petronas Shop","","","Do Not Print Kitchen Docket","69dc60e47bb1b80007962fcc","","",""
"SH0080","","BAG AKAR","Bag","Fixed","","59.00","","","16.00","","","Simple","1","","","","","","","Lucy","","","","69dc60e37bb1b80007962f8b","","",""
"SH0004","","BATIK SHIRT (MEN)","Shirt","Fixed","","150.00","","","80.00","","","Simple","1","","","","13.00","","","Lucy","","","Do Not Print Kitchen Docket","69dc60e17bb1b80007962baf","","",""
"SH0027","","BELL","Decoration","Fixed","","29.00","","","6.50","","","Simple","1","","","","-28.00","","","Jeff","","","","69dc60e27bb1b80007962cda","","",""
"","","Bag (300)","Bag","Fixed","","300.00","","","195.00","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a2e4ed7d4cda400078c51c1","","",""
"","","Bag Anyam (189)","Bag","Fixed","","189.00","","","90.00","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","69e24277f0aea40007788edb","","",""
"","","Bag Rotan Handmade","Bag","Fixed","","280.00","","","","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","69ee28aa8105f400074b910d","","",""
"","","Bag anyam (169)","","Fixed","","169.00","","","","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a27950a5d780500078b064b","","",""
"","","Bag anyam (229)","","Fixed","","229.00","","","","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a2794f1ed0c3100072848bb","","",""
"","","Batik Painting Kit","Stationary","Fixed","","20.00","","","10.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","69fab76f9e9dc50007064d15","","",""
"","","Bracelet (10)","","Fixed","","10.00","","","2.50","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a1af4e4cf8905000775cc01","","",""
"","","Bracelet (40)","","Fixed","","40.00","","","15.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a1c01e1174ee00007121980","","",""
"SH0044","","CAP","Cap","Fixed","","29.00","","","7.50","","","Simple","1","","","","-22.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962db7","","",""
