"Store","Register #","Open Time","Close Time","Open By","Close By","Total Net","Total Deposits","Cash Sales","Cash Deposits","Cash Refunds","Cash Rounded","Cash Net","Credit Card Sales","Credit Card Deposits","Credit Card Refunds","Credit Card Net","Debit Card Sales","Debit Card Deposits","Debit Card Refunds","Debit Card Net","QR Sales","QR Deposits","QR Refunds","QR Net","SR Tax: 0% ","Total Tax","Cancelled Transactions","Cancelled Amount","Discounted Transactions","Discounted Amount","Pay Out","Pay Out Details","Pay In","Pay In Details","Opening Amount","Expected Drawer","Actual Drawer","Cash Drawer Over/Short","QR Order and Pay Sales","Beep Cashback Discount"
"Gembira Momento","1","04/15/2026 10:51","04/15/2026 23:40",". Putri","_ Faris","592.00","0.00","328.00","0.00","0.00","0.00","328.00","0.00","0.00","0.00","0.00","237.00","0.00","0.00","237.00","27.00","0.00","0.00","27.00","0.00","0.00","2","34.00","3","89.00","50.00","50: Cash Withdrawal","50.00","50: Add Change","55.00","383.00","383.00","0.00","0.00","0.00"
"Gembira Momento","1","04/16/2026 10:49","04/16/2026 23:02","_ Faris",". Putri","836.00","0.00","240.00","0.00","0.00","0.00","240.00","307.00","0.00","0.00","307.00","289.00","0.00","0.00","289.00","0.00","0.00","0.00","0.00","0.00","0.00","3","110.00","6","54.00","0.00","","0.00","","83.00","323.00","270.00","-53.00","0.00","0.00"
"Gembira Momento","1","04/17/2026 09:58","04/17/2026 23:06",". Putri",". Putri","1048.00","0.00","480.00","0.00","0.00","0.00","480.00","71.00","0.00","0.00","71.00","407.00","0.00","0.00","407.00","90.00","0.00","0.00","90.00","0.00","0.00","0","0.00","6","201.00","60.00","60: Cash Withdrawal","60.00","60: Add Change","75.00","555.00","555.00","0.00","0.00","0.00"
"Gembira Momento","1","04/18/2026 11:07","04/18/2026 22:59",". Putri",". Putri","226.00","0.00","95.00","0.00","0.00","0.00","95.00","15.00","0.00","0.00","15.00","116.00","0.00","0.00","116.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","1","7.00","0.00","","0.00","","55.00","150.00","150.00","0.00","0.00","0.00"
"Gembira Momento","1","04/19/2026 11:10","04/19/2026 22:05","Syazarul Jufri","_ Faris","140.00","0.00","106.00","0.00","0.00","0.00","106.00","19.00","0.00","0.00","19.00","15.00","0.00","0.00","15.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","1","1.00","0.00","","0.00","","50.00","156.00","156.00","0.00","0.00","0.00"
"Gembira Momento","1","04/20/2026 11:05","04/20/2026 22:59","_ Faris",". Putri","1371.00","0.00","121.00","0.00","0.00","0.00","121.00","428.00","0.00","0.00","428.00","727.00","0.00","0.00","727.00","95.00","0.00","0.00","95.00","0.00","0.00","1","198.00","8","72.00","60.00","60: Cash Withdrawal","0.00","","46.00","107.00","107.00","0.00","0.00","0.00"
"Gembira Momento","1","04/21/2026 11:53","04/21/2026 22:57",". Putri",". Putri","393.00","0.00","184.00","0.00","0.00","0.00","184.00","0.00","0.00","0.00","0.00","151.00","0.00","0.00","151.00","58.00","0.00","0.00","58.00","0.00","0.00","0","0.00","2","18.00","0.00","","0.00","","107.00","291.00","291.00","0.00","0.00","0.00"
"Gembira Momento","1","04/22/2026 10:10","04/22/2026 23:24",". Putri","_ Faris","847.00","0.00","123.00","0.00","0.00","0.00","123.00","313.00","0.00","0.00","313.00","367.00","0.00","0.00","367.00","44.00","0.00","0.00","44.00","0.00","0.00","2","109.00","5","96.00","0.00","","0.00","","91.00","214.00","215.00","1.00","0.00","0.00"
"Gembira Momento","1","04/23/2026 10:59","04/23/2026 22:59","_ Faris",". Putri","265.00","0.00","134.00","0.00","0.00","0.00","134.00","0.00","0.00","0.00","0.00","62.00","0.00","0.00","62.00","69.00","0.00","0.00","69.00","0.00","0.00","2","38.00","1","10.00","0.00","","0.00","","65.00","199.00","201.00","2.00","0.00","0.00"
"Gembira Momento","1","04/24/2026 11:00","04/24/2026 23:29","_ Faris",". Putri","287.00","0.00","19.00","0.00","0.00","0.00","19.00","59.00","0.00","0.00","59.00","139.00","0.00","0.00","139.00","70.00","0.00","0.00","70.00","0.00","0.00","0","0.00","3","24.00","0.00","","0.00","","74.00","93.00","93.00","0.00","0.00","0.00"
"Gembira Momento","1","04/25/2026 10:27","04/25/2026 23:02",". Putri",". Putri","895.00","0.00","591.00","0.00","0.00","0.00","591.00","0.00","0.00","0.00","0.00","284.00","0.00","0.00","284.00","20.00","0.00","0.00","20.00","0.00","0.00","2","38.00","3","27.00","0.00","","0.00","","93.00","684.00","660.00","-24.00","0.00","0.00"
"Gembira Momento","1","04/26/2026 11:01","04/26/2026 23:14","_ Faris",". Putri","1822.00","0.00","1057.00","0.00","0.00","0.00","1057.00","0.00","0.00","0.00","0.00","629.00","0.00","0.00","629.00","136.00","0.00","0.00","136.00","0.00","0.00","0","0.00","8","229.00","0.00","","0.00","","90.00","1147.00","1110.00","-37.00","0.00","0.00"
"Gembira Momento","1","04/27/2026 12:01","04/27/2026 23:29",". Putri",". Putri","289.00","0.00","219.00","0.00","0.00","0.00","219.00","0.00","0.00","0.00","0.00","45.00","0.00","0.00","45.00","25.00","0.00","0.00","25.00","0.00","0.00","3","59.00","4","22.00","0.00","","0.00","","47.00","266.00","266.00","0.00","0.00","0.00"
"Gembira Momento","1","04/28/2026 10:32","04/28/2026 22:54",". Putri",". Putri","519.00","0.00","206.00","0.00","0.00","0.00","206.00","211.00","0.00","0.00","211.00","102.00","0.00","0.00","102.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","4","34.00","50.00","50: Cash Withdrawal","0.00","","66.00","222.00","222.00","0.00","0.00","0.00"
"Gembira Momento","1","04/29/2026 10:39","04/29/2026 23:01",". Putri",". Putri","1047.00","0.00","191.00","0.00","0.00","0.00","191.00","15.00","0.00","0.00","15.00","841.00","0.00","0.00","841.00","0.00","0.00","0.00","0.00","0.00","0.00","1","20.00","5","39.00","0.00","","0.00","","56.00","247.00","200.00","-47.00","0.00","0.00"
"Gembira Momento","1","04/30/2026 10:38","04/30/2026 22:58",". Putri",". Putri","1032.00","0.00","440.00","0.00","0.00","0.00","440.00","125.00","0.00","0.00","125.00","364.00","0.00","0.00","364.00","103.00","0.00","0.00","103.00","0.00","0.00","3","81.00","3","48.00","0.00","","0.00","","65.00","505.00","505.00","0.00","0.00","0.00"
"Gembira Momento","1","05/01/2026 10:57","05/01/2026 22:59","Syazarul Jufri",". Putri","910.00","0.00","477.00","0.00","0.00","0.00","477.00","15.00","0.00","0.00","15.00","418.00","0.00","0.00","418.00","0.00","0.00","0.00","0.00","0.00","0.00","2","42.00","4","20.00","0.00","","0.00","","55.00","532.00","532.00","0.00","0.00","0.00"
"Gembira Momento","1","05/02/2026 10:25","05/02/2026 23:10",". Putri",". Putri","1201.00","0.00","766.00","0.00","0.00","0.00","766.00","69.00","0.00","0.00","69.00","40.00","0.00","0.00","40.00","326.00","0.00","0.00","326.00","0.00","0.00","3","116.00","10","79.00","10.00","10: Cash Withdrawal","0.00","","62.00","818.00","818.00","0.00","0.00","0.00"
"Gembira Momento","1","05/03/2026 11:03","05/03/2026 23:03","_ Faris",". Putri","868.00","0.00","419.00","0.00","0.00","0.00","419.00","50.00","0.00","0.00","50.00","212.00","0.00","0.00","212.00","187.00","0.00","0.00","187.00","0.00","0.00","0","0.00","6","38.00","0.00","","0.00","","18.00","437.00","437.00","0.00","0.00","0.00"
"Gembira Momento","1","05/04/2026 11:25","05/04/2026 23:34",". Putri","_ Faris","296.00","0.00","109.00","0.00","0.00","0.00","109.00","68.00","0.00","0.00","68.00","15.00","0.00","0.00","15.00","104.00","0.00","0.00","104.00","0.00","0.00","0","0.00","1","10.00","0.00","","0.00","","37.00","146.00","146.00","0.00","0.00","0.00"
"Gembira Momento","1","05/05/2026 10:55","05/05/2026 23:02","_ Faris",". Putri","613.00","0.00","256.00","0.00","0.00","0.00","256.00","15.00","0.00","0.00","15.00","273.00","0.00","0.00","273.00","69.00","0.00","0.00","69.00","0.00","0.00","2","78.00","4","32.00","0.00","","0.00","","47.00","303.00","303.00","0.00","0.00","0.00"
"Gembira Momento","1","05/06/2026 10:59","05/06/2026 23:01","_ Faris","_ Faris","1231.00","0.00","681.00","0.00","0.00","0.00","681.00","175.00","0.00","0.00","175.00","315.00","0.00","0.00","315.00","60.00","0.00","0.00","60.00","0.00","0.00","1","56.00","9","82.00","0.00","","0.00","","63.00","744.00","744.00","0.00","0.00","0.00"
